,1,1000,1500,1600,1700,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
Western Europe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria ,213,298,1414,2093,2483,4104,,,,,,,,,,4948,,,,,,,,,,5628,,,,,,,,,,6519,,,,,,,,,,7528,,,,,,,,,,8419,9029,9099,8888,9287,9333,9545,9873,10201,10131,10272,10694,10764,11210,11514,11444,11819,12640,12617,12499,13179,13648,13953,14047,14868,15267,15501,15829,16721,17072,17213,17283,17963,18128,18409,19441,20191,21434,21528,21458,21763,22443,23568,23451,19572,18154,17933,17548,17186,14503,15571,17236,18784,18597,20754,22161,22536,23216,24295,24647,23967,22044,19769,19113,19277,19652,20238,21317,24037,27250,26547,28446,27016,27672,28376,11726,13695,15102,19230,22865,25702,27460,27484,28680,31611,35105,37520,39818,41272,42445,45939,48378,49550,51567,54662,56234,59399,61205,63925,67945,72785,76506,81256,85227,88588,88267,92307,96624,96273,101525,103874,103771,105750,108716,109077,111525,114135,116053,119730,124791,130476,135169,138361,138822,142516,145238,149042,151783,157188,162409,167860,169255,170886,173311
Belgium ,135,170,1225,1561,2288,4529,,,,,,,,,,5078,,,,,,,,,,,,,,,,7277,7633,7665,7892,8216,8442,8668,8894,9444,9509,10026,10285,10350,10350,10867,11029,11320,11644,12032,12032,12388,12452,12905,13390,13716,13780,14621,14718,15203,15171,15365,15559,16012,16174,16982,17209,17791,18050,18211,18438,18664,19376,19505,20443,20896,20929,21446,21770,22093,22611,23063,23484,23872,24357,25069,25295,25813,26395,27074,27851,28433,28854,29145,29695,30471,31183,31926,32347,30300,29935,31672,27199,21917,25854,29921,30439,33414,34611,35743,36293,37523,38913,40951,40595,40207,39496,37717,38525,38202,40563,40854,41404,40466,43216,38072,36067,32962,32198,34094,36132,38267,40563,42989,44736,47190,49874,49486,51071,53173,55696,57313,58381,58316,60160,63394,66478,69904,72988,78128,80870,83440,86695,90293,96302,102265,106103,111679,118516,123494,121855,128743,129549,133231,136350,142458,140680,142665,142648,146180,147650,149854,153392,160632,166396,171442,174585,177257,175552,181217,185539,187685,193950,197672,203756,211631,213848,217062,219069
Denmark ,72,144,443,569,727,1471,1541,1564,1564,1611,1623,1646,1693,1716,1681,1693,1681,1728,1716,1809,1798,1798,1844,1856,1879,1938,1938,1949,2054,2159,2218,2265,2253,2370,2510,2649,2521,2615,2626,2638,2930,2766,2813,2790,2977,2953,3000,3093,3292,3257,3373,3373,3373,3432,3630,3782,3793,4003,3979,4096,4166,4248,4131,4295,4435,4540,4586,4750,4913,4936,4971,5170,5357,5392,5462,5788,5905,6045,6162,6290,6640,6885,7049,7165,7469,7726,8052,8239,8729,8916,9068,9324,9674,9978,10363,10678,11250,11250,11670,12405,11542,12032,11320,10946,12359,12942,12569,13841,15299,15346,14996,15871,16186,16735,17855,18917,19127,18625,19220,19804,20247,20749,21251,21765,22803,19606,17668,18065,20061,22161,20493,23690,25020,25697,27471,29654,29852,30144,31859,32478,32828,33225,35746,36551,39270,40367,42926,45295,45579,49843,52117,53539,55339,57613,61283,62524,64191,67578,70032,69379,68921,73382,74573,75674,78356,78010,77316,79650,81656,85241,88897,92135,92406,93482,93728,94863,96097,97995,97907,103317,106484,109502,113005,115446,118402,122580,123444,124015,124781
Finland ,8,16,136,215,255,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1483,,,,,,,,,,1667,1680,1590,1718,1756,1744,1763,1622,1782,1910,1999,2013,2083,2204,2255,2300,2428,2370,2326,2351,2364,2300,2524,2619,2639,2703,2837,2881,2990,3092,3265,3233,3137,3258,3514,3706,3948,4140,4319,4217,4415,4364,4274,4562,4734,4811,5003,5175,5233,5463,5584,5744,6063,6389,6108,5801,5878,4939,4281,5169,5782,5974,6606,7092,7277,7692,7986,8612,9194,9302,9194,8970,8932,9526,10606,11059,11807,12478,13123,12561,11909,12299,12337,13756,13762,12963,14017,14343,15481,16420,17051,18501,19121,19255,20941,22008,22673,23739,23867,25285,27598,29701,30627,31636,33235,35002,35843,36600,37442,41048,44114,45036,48473,51724,53291,53905,53676,53808,54934,58756,61890,63043,65090,66849,68866,71184,72873,75861,79581,84092,84103,78731,75731,74790,77733,80412,83462,88628,93023,96165,100952,101990,104237,106749
France,2366,2763,10912,15559,19539,35468,38524,37267,38706,40025,38526,39783,39179,39158,40415,39655,40378,44090,43416,43663,45312,44803,45669,47899,46367,49828,51045,49933,52595,54497,52833,52965,58806,55198,56933,58039,57188,60931,57969,60763,59842,62469,66038,70645,66046,70577,66154,71812,74416,75256,73157,73651,69308,75958,78029,72100,71667,78313,72822,82070,84815,77880,82070,81058,76001,82792,85971,90017,90306,89294,87705,89150,89728,90595,92906,95074,97241,99697,101431,105188,103021,107933,106488,111690,118048,116747,114869,112990,115447,116314,118336,120504,125705,124983,130185,122238,134230,145356,144489,134230,131485,138131,117036,92328,108800,125850,120648,142322,149691,168474,169197,173676,170064,181912,194193,188558,177288,165729,177577,175843,171364,177866,188125,187402,200840,165729,131052,117470,111546,94207,102154,155326,168330,180611,205174,220492,234074,240287,247223,259215,274098,287969,305308,312966,321924,344609,363754,387937,408090,435296,456456,479631,501799,523967,560280,592389,621055,648668,683965,704012,699106,729326,756545,777544,802491,813763,822116,842787,852644,865172,877305,898129,920822,961287,1000286,1026491,1038922,1059125,1048641,1070473,1095672,1107664,1134262,1174723,1214066,1263467,1289387,1305136,1315601
Germany ,1225,1435,8256,12656,13650,26819,,,,,,,,,,37250,,,,,,,,,,,,,,,,,,,,48178,47941,48890,48653,49840,49128,53162,55773,55536,55773,59096,57672,60520,65029,66928,67165,67640,67877,71912,72386,72149,71674,76658,79981,85914,86389,85914,85440,89474,87338,86626,88762,90186,95170,97543,99917,100629,104663,108935,112021,115581,115343,120090,126023,129109,135279,140026,144061,150231,155690,162335,158538,162335,171354,178236,182034,187492,195799,199122,203156,210513,217633,227127,237332,202207,192002,193900,194138,194612,156591,170235,189511,206188,171318,200557,223082,229363,252321,263367,262284,258602,238893,220916,234778,256220,275496,299753,317783,342351,374577,377284,401174,406582,414696,425041,302457,143381,161011,190695,223178,265354,289679,314794,341150,366584,406922,436086,461071,481599,516821,558482,581487,606292,623382,661273,694798,715393,717610,755463,805410,843103,867917,903739,944755,952571,947383,993132,1021710,1050404,1092615,1105099,1109276,1099799,1119394,1150951,1176131,1202151,1220284,1260983,1302212,1264438,1331700,1361341,1350421,1386303,1412513,1426554,1452295,1481781,1511579,1560098,1579443,1580379,1577423
Italy ,6475,2250,11550,14410,14630,22535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33019,,,,,,,,,,,37995,39141,38377,39523,40503,42482,38950,40668,41146,41814,42272,41647,43274,43130,44365,43431,43409,44051,44561,46690,43541,47354,47218,47556,48542,50695,52090,51920,49686,52863,52648,49688,51967,51235,52027,53456,51091,55646,56944,60114,64016,62231,65196,65805,69477,72087,80214,82149,88494,85285,90839,91574,95487,95413,106730,119746,125383,127249,105980,96757,95287,100210,106266,107312,114397,115595,113094,121182,125180,119014,118323,122140,121317,121826,133559,133792,142954,143981,154470,155424,153517,151610,137307,111562,87342,114422,134446,142074,152563,164957,177272,190541,204288,214884,227389,237699,251732,265192,281707,296981,321992,347098,371822,386333,395020,415639,445232,482462,510051,521506,531385,546933,582713,610040,596946,635737,654108,678494,716984,742299,745816,749233,758360,777841,799697,822404,847870,880671,906053,925654,938522,945660,937303,957993,986004,996782,1016980,1035224,1052447,1084305,1103435,1107664,1110691
Netherlands ,85,128,723,2072,4047,4288,4458,4498,4702,4871,4871,4902,5125,5373,5492,5300,5298,5638,5742,5750,5823,5980,6205,6380,6485,6588,6734,6756,6680,6723,6807,6837,6869,6938,7119,7345,7551,7642,7578,7790,7941,8036,8179,8039,7810,7887,8007,8123,8427,8760,9015,9255,9335,9286,9552,9952,9942,10146,10472,10213,10908,11074,11364,11468,11074,12313,12540,12875,13816,14065,14378,14594,15178,15707,15707,15070,14783,15006,15157,15524,16015,15405,16959,17310,17566,17604,17958,18796,19197,19334,19953,20661,20679,20694,21457,22438,23263,23998,24955,24281,25105,25779,24131,22634,28049,28898,30670,32342,33140,35561,37058,40028,41700,43921,44270,44170,41475,40901,40826,40078,41575,44195,46716,45593,48687,42898,40627,37133,36235,24306,24880,41999,48613,53804,58546,60642,61914,63162,68652,73319,78759,81654,83950,83701,87793,95180,95455,101993,105686,114446,120435,123754,130267,138627,147552,155955,162539,167919,175791,182763,182596,191194,196392,201024,205501,207979,206925,204517,208014,214854,221470,227570,230788,236824,247906,258094,263955,269302,271352,277719,286143,294840,306157,319474,332239,343756,348661,348928,348464
